Transaction_ID,Customer_ID,Customer_Segment,Product_Category,Product_Name,Base_Price,Margin_Pct,Discount_Applied_Pct,Store_Region,Sales_Volume,Customer_Affinity_Score
TX_VAR_1053,CUST_2003,"Tech & Trendsetters","Electronics","Pro Performance Smartwatch",240,0.52,15,"West Region",48,0.84
TX_VAR_1054,CUST_2004,"Seasonal Home Organizers","Footwear","Apex Trail Running Shoes",150,0.48,25,"Central Region",46,0.94
TX_VAR_1055,CUST_2005,"Urban Fitness Enthusiasts","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"North Region",47,0.88
TX_VAR_1056,CUST_2006,"High-Value VIP Loyalists","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"South Region",25,0.88
TX_VAR_1057,CUST_2007,"Bargain Hunters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"East Region",31,0.79
TX_VAR_1058,CUST_2008,"Tech & Trendsetters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"West Region",38,0.93
TX_VAR_1059,CUST_2009,"Seasonal Home Organizers","Electronics","Pro Performance Smartwatch",240,0.52,15,"Central Region",41,0.79
TX_VAR_1060,CUST_2010,"Urban Fitness Enthusiasts","Footwear","Apex Trail Running Shoes",150,0.48,25,"North Region",36,0.9
TX_VAR_1061,CUST_2011,"High-Value VIP Loyalists","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"South Region",25,0.75
TX_VAR_1062,CUST_2012,"Bargain Hunters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"East Region",45,0.88
TX_VAR_1063,CUST_2013,"Tech & Trendsetters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"West Region",19,0.8
TX_VAR_1064,CUST_2014,"Seasonal Home Organizers","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"Central Region",33,0.83
TX_VAR_1065,CUST_2015,"Urban Fitness Enthusiasts","Electronics","Pro Performance Smartwatch",240,0.52,15,"North Region",12,0.94
TX_VAR_1066,CUST_2016,"High-Value VIP Loyalists","Footwear","Apex Trail Running Shoes",150,0.48,25,"South Region",31,0.91
TX_VAR_1067,CUST_2017,"Bargain Hunters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"East Region",28,0.82
TX_VAR_1068,CUST_2018,"Tech & Trendsetters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"West Region",44,0.71
TX_VAR_1069,CUST_2019,"Seasonal Home Organizers","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"Central Region",23,0.96
TX_VAR_1070,CUST_2020,"Urban Fitness Enthusiasts","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"North Region",40,0.87
TX_VAR_1071,CUST_2021,"High-Value VIP Loyalists","Electronics","Pro Performance Smartwatch",240,0.52,15,"South Region",22,0.73
TX_VAR_1072,CUST_2022,"Bargain Hunters","Footwear","Apex Trail Running Shoes",150,0.48,25,"East Region",45,0.98
TX_VAR_1073,CUST_2023,"Tech & Trendsetters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"West Region",39,0.91
TX_VAR_1074,CUST_2024,"Seasonal Home Organizers","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"Central Region",23,0.72
TX_VAR_1075,CUST_2000,"Urban Fitness Enthusiasts","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"North Region",24,0.73
TX_VAR_1076,CUST_2001,"High-Value VIP Loyalists","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"South Region",24,0.73
TX_VAR_1077,CUST_2002,"Bargain Hunters","Electronics","Pro Performance Smartwatch",240,0.52,15,"East Region",18,0.83
TX_VAR_1078,CUST_2003,"Tech & Trendsetters","Footwear","Apex Trail Running Shoes",150,0.48,25,"West Region",12,0.91
TX_VAR_1079,CUST_2004,"Seasonal Home Organizers","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"Central Region",38,0.74
TX_VAR_1080,CUST_2005,"Urban Fitness Enthusiasts","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"North Region",23,0.79
TX_VAR_1081,CUST_2006,"High-Value VIP Loyalists","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"South Region",14,0.96
TX_VAR_1082,CUST_2007,"Bargain Hunters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"East Region",11,0.96
TX_VAR_1083,CUST_2008,"Tech & Trendsetters","Electronics","Pro Performance Smartwatch",240,0.52,15,"West Region",43,0.91
TX_VAR_1084,CUST_2009,"Seasonal Home Organizers","Footwear","Apex Trail Running Shoes",150,0.48,25,"Central Region",47,0.7
TX_VAR_1085,CUST_2010,"Urban Fitness Enthusiasts","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"North Region",36,0.78
TX_VAR_1086,CUST_2011,"High-Value VIP Loyalists","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"South Region",10,0.9
TX_VAR_1087,CUST_2012,"Bargain Hunters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"East Region",13,0.9
TX_VAR_1088,CUST_2013,"Tech & Trendsetters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"West Region",29,0.74
TX_VAR_1089,CUST_2014,"Seasonal Home Organizers","Electronics","Pro Performance Smartwatch",240,0.52,15,"Central Region",48,0.97
TX_VAR_1090,CUST_2015,"Urban Fitness Enthusiasts","Footwear","Apex Trail Running Shoes",150,0.48,25,"North Region",40,0.91
TX_VAR_1091,CUST_2016,"High-Value VIP Loyalists","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"South Region",46,0.74
TX_VAR_1092,CUST_2017,"Bargain Hunters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"East Region",49,0.91
TX_VAR_1093,CUST_2018,"Tech & Trendsetters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"West Region",41,0.7
TX_VAR_1094,CUST_2019,"Seasonal Home Organizers","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"Central Region",49,0.9
TX_VAR_1095,CUST_2020,"Urban Fitness Enthusiasts","Electronics","Pro Performance Smartwatch",240,0.52,15,"North Region",43,0.88
TX_VAR_1096,CUST_2021,"High-Value VIP Loyalists","Footwear","Apex Trail Running Shoes",150,0.48,25,"South Region",22,0.77
TX_VAR_1097,CUST_2022,"Bargain Hunters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"East Region",29,0.94
TX_VAR_1098,CUST_2023,"Tech & Trendsetters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"West Region",49,0.86
TX_VAR_1099,CUST_2024,"Seasonal Home Organizers","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"Central Region",34,0.72
TX_VAR_1100,CUST_2000,"Urban Fitness Enthusiasts","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"North Region",33,0.74
TX_VAR_1101,CUST_2001,"High-Value VIP Loyalists","Electronics","Pro Performance Smartwatch",240,0.52,15,"South Region",36,0.87
TX_VAR_1102,CUST_2002,"Bargain Hunters","Footwear","Apex Trail Running Shoes",150,0.48,25,"East Region",47,0.83
TX_VAR_1103,CUST_2003,"Tech & Trendsetters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"West Region",15,0.89
TX_VAR_1104,CUST_2004,"Seasonal Home Organizers","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"Central Region",46,0.71
TX_VAR_1105,CUST_2005,"Urban Fitness Enthusiasts","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"North Region",37,0.77
TX_VAR_1106,CUST_2006,"High-Value VIP Loyalists","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"South Region",37,0.95
TX_VAR_1107,CUST_2007,"Bargain Hunters","Electronics","Pro Performance Smartwatch",240,0.52,15,"East Region",47,0.92
TX_VAR_1108,CUST_2008,"Tech & Trendsetters","Footwear","Apex Trail Running Shoes",150,0.48,25,"West Region",12,0.85
TX_VAR_1109,CUST_2009,"Seasonal Home Organizers","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"Central Region",31,0.88
TX_VAR_1110,CUST_2010,"Urban Fitness Enthusiasts","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"North Region",34,0.87
TX_VAR_1111,CUST_2011,"High-Value VIP Loyalists","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"South Region",11,0.9
TX_VAR_1112,CUST_2012,"Bargain Hunters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"East Region",36,0.98
TX_VAR_1113,CUST_2013,"Tech & Trendsetters","Electronics","Pro Performance Smartwatch",240,0.52,15,"West Region",20,0.77
TX_VAR_1114,CUST_2014,"Seasonal Home Organizers","Footwear","Apex Trail Running Shoes",150,0.48,25,"Central Region",43,0.71
TX_VAR_1115,CUST_2015,"Urban Fitness Enthusiasts","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"North Region",21,0.72
TX_VAR_1116,CUST_2016,"High-Value VIP Loyalists","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"South Region",33,0.9
TX_VAR_1117,CUST_2017,"Bargain Hunters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"East Region",10,0.86
TX_VAR_1118,CUST_2018,"Tech & Trendsetters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"West Region",15,0.98
TX_VAR_1119,CUST_2019,"Seasonal Home Organizers","Electronics","Pro Performance Smartwatch",240,0.52,15,"Central Region",36,0.87
TX_VAR_1120,CUST_2020,"Urban Fitness Enthusiasts","Footwear","Apex Trail Running Shoes",150,0.48,25,"North Region",14,0.92
TX_VAR_1121,CUST_2021,"High-Value VIP Loyalists","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"South Region",30,0.72
TX_VAR_1122,CUST_2022,"Bargain Hunters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"East Region",13,0.8
TX_VAR_1123,CUST_2023,"Tech & Trendsetters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"West Region",47,0.74
TX_VAR_1124,CUST_2024,"Seasonal Home Organizers","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"Central Region",27,0.85
TX_VAR_1125,CUST_2000,"Urban Fitness Enthusiasts","Electronics","Pro Performance Smartwatch",240,0.52,15,"North Region",26,0.77
TX_VAR_1126,CUST_2001,"High-Value VIP Loyalists","Footwear","Apex Trail Running Shoes",150,0.48,25,"South Region",16,0.77
TX_VAR_1127,CUST_2002,"Bargain Hunters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"East Region",11,0.8
TX_VAR_1128,CUST_2003,"Tech & Trendsetters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"West Region",35,0.71
TX_VAR_1129,CUST_2004,"Seasonal Home Organizers","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"Central Region",33,0.93
TX_VAR_1130,CUST_2005,"Urban Fitness Enthusiasts","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"North Region",31,0.88
TX_VAR_1131,CUST_2006,"High-Value VIP Loyalists","Electronics","Pro Performance Smartwatch",240,0.52,15,"South Region",14,0.77
TX_VAR_1132,CUST_2007,"Bargain Hunters","Footwear","Apex Trail Running Shoes",150,0.48,25,"East Region",46,0.82
TX_VAR_1133,CUST_2008,"Tech & Trendsetters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"West Region",35,0.9
TX_VAR_1134,CUST_2009,"Seasonal Home Organizers","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"Central Region",44,0.76
TX_VAR_1135,CUST_2010,"Urban Fitness Enthusiasts","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"North Region",11,0.88
TX_VAR_1136,CUST_2011,"High-Value VIP Loyalists","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"South Region",20,0.96
TX_VAR_1137,CUST_2012,"Bargain Hunters","Electronics","Pro Performance Smartwatch",240,0.52,15,"East Region",14,0.75
TX_VAR_1138,CUST_2013,"Tech & Trendsetters","Footwear","Apex Trail Running Shoes",150,0.48,25,"West Region",19,0.94
TX_VAR_1139,CUST_2014,"Seasonal Home Organizers","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"Central Region",41,0.79
TX_VAR_1140,CUST_2015,"Urban Fitness Enthusiasts","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"North Region",41,0.89
TX_VAR_1141,CUST_2016,"High-Value VIP Loyalists","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"South Region",25,0.89
TX_VAR_1142,CUST_2017,"Bargain Hunters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"East Region",43,0.78
TX_VAR_1143,CUST_2018,"Tech & Trendsetters","Electronics","Pro Performance Smartwatch",240,0.52,15,"West Region",17,0.7
TX_VAR_1144,CUST_2019,"Seasonal Home Organizers","Footwear","Apex Trail Running Shoes",150,0.48,25,"Central Region",47,0.75
TX_VAR_1145,CUST_2020,"Urban Fitness Enthusiasts","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"North Region",14,0.73
TX_VAR_1146,CUST_2021,"High-Value VIP Loyalists","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"South Region",44,0.82
TX_VAR_1147,CUST_2022,"Bargain Hunters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"East Region",16,0.91
TX_VAR_1148,CUST_2023,"Tech & Trendsetters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"West Region",18,0.76
TX_VAR_1149,CUST_2024,"Seasonal Home Organizers","Electronics","Pro Performance Smartwatch",240,0.52,15,"Central Region",26,0.85
TX_VAR_1150,CUST_2000,"Urban Fitness Enthusiasts","Footwear","Apex Trail Running Shoes",150,0.48,25,"North Region",21,0.92
